Name,data01,data02,data03,data04,data05,data06,data07,data08,data09,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57
Octadecanamine,114797054.2,14328710.83,122193981.8,15473931.78,24370117.43,46008834.17,10640204.3,9975541.561,8872352.776,9839244.861,5455309.413,9164392.192,7321079.834,7864027.644,7987987.155,7929735.381,7157779.972,14866104.37,10881523.46,7446964.855,632780.6511,6766099.767,6757114.075,349581.6506,332751.5945,12716571.08,6916112.59,8824069.64,6935487.703,7132156.686,10356661.41,8793972.557,8235659.318,10735182.78,9217881.608,5399667.003,3165366.14,478737.0603,413018.7246,12110703.88,10533803.28,12331016.09,12481595.68,13291366.46,12802723.12,12149483.41,12709976.15,12727976.98,12760922.36,2909633.929,3620540.827,13242508.35,12735621.29,11664932.36,11060591.6,10935437.27,10628139.32
Octyl hydrogen phthalate,29010137.77,17072671.56,29916689.1,45233447.08,29761603.46,29474909.13,24010661.92,27773917.18,17581184.54,30826983.46,30164529.51,29516341.24,33291454.1,30452101.82,33097075.18,30585901.02,31356349.46,35625088.14,42557422.3,27765744.14,23097567.23,32429140.15,26780727.59,19824118.37,23198999.77,28832919.15,29383386.5,28248863.19,24252418.03,26425569.28,36454880.47,29796855.57,27065749.7,30458289.83,31447501.49,28795993.77,22432984.38,23001059.73,25787426.99,27058300.15,36624612.92,40694095.27,24359418.09,29586329.91,37965147.89,36537794.2,40628733.36,33473051.18,27071971.1,35805631.13,56365652.32,53818265.66,45857240.13,53080916.89,51795086.89,54690471.3,48551539.77
Oleamide,64204383.58,8566163.256,16911576.32,29395745.36,21236596.24,18541566.43,17629224.83,24347480.14,23444287.84,14150901.42,18648919.35,16516364.54,24218351.86,30534176.42,15381781.31,20181800.04,21788635.52,20393662.64,22482396.74,20685104.3,4058684.216,15219146.79,21330130.9,3675949.335,2790015.136,30870475.14,34249131.37,34927345.22,52095908.12,24141185,31240978.42,27224638.12,26067817.16,40438204.84,26422078.6,18979656.22,4439945.372,5041573.796,2501553.81,23760790.72,26850027.54,30910482.44,14462315.99,40373325.32,24795874.28,27578057.78,48242337.08,42238797.32,23370196.74,34102011.12,46234424.46,30252033.48,25568817.94,32279992.99,47375386.68,32313985.02,33688238.42
Oleoyl ethanolamide,10394567.81,6833839.285,5343772.496,5777421.298,4963015.404,5898309.56,5462750.978,3974682.012,5037686.942,4681287.894,5021495.93,4750368.356,4848862.74,5241972.549,5231335.791,4046396.029,4398088.16,4366109.845,4630070.51,2471915.396,153191.1477,110332.8763,4485501.759,74751.61587,116114.6728,4376373.698,4788519.127,3795924.527,4900665.643,4663279.445,3937573.283,3779028.071,4098882.183,3260864.121,3631300.392,3449451.284,133112.4053,73504.96641,74471.90391,2373559.806,3558400.722,3006730.866,2504862.369,3235344.742,3640382.66,3643334.243,3796620.023,3647168.777,3952388.43,4377216.158,3849193.266,3753039.23,2934349.648,3679940.962,3527043.182,4063171.977,2964424.577
OPEO,4035264.828,534822.4095,2550372.148,4091336.016,816286.3688,2073009.536,2537857.087,2097955.144,2231152.854,2461967.157,1234202.171,2233364.99,2096771.735,2144222.355,1571155.448,1250935.45,2292413.639,1861268.295,1918966.133,2570960.932,54080.67063,130226.8654,1251988.114,53687.17646,51971.58254,1278610.462,2119773.374,1373787.596,2161718.498,2479292.096,94574.63065,1405830.09,2140855.058,1077027.097,1835092.105,2462063.26,52901.95967,50968.74612,56702.05836,2124737.773,369205.5393,2292305.379,1954329.001,1434917.897,3322712.506,12527067.31,1297199.06,2340398.691,3396908.273,8953382.786,4948733.653,16167473.15,3417107.7,2076932.744,2833152.961,6823446.782,5492351.692
Palmitic Acid,9371996553,9550119673,8050139184,6270272760,7737390159,7147040983,11587765456,4479760374,10575716264,8357082926,7696243334,6771277814,4413324451,10808681985,5631802142,6973031331,9761809739,7828246109,6473673487,8044675653,552831438.1,232745248.8,1844714466,404208012.5,427467418.8,10589466561,5125538609,7573800344,7455772506,8632012853,7273955191,5418191085,3259526620,3110197769,6278941579,9356817215,337307991,451201745.7,405243745,5655411747,7822921285,7097904220,2126284744,9721386790,6968989303,7830383840,9448299831,7637810607,10087526298,6649025741,6155874379,8248037126,10717189481,7170449123,7549212252,9808801647,8753566039
Palmitoleic Acid,3471397.525,7338521.76,4572162.11,4314837.268,3454365.716,7060013.795,5016416.45,4313023.125,12264270.53,6475578.29,3472899.097,4644325.288,4689902.426,10402135.33,10430431.44,6495155.94,4607681.642,2578738.2,4270611.405,6871321.39,124215.2658,2462428.615,13068697.44,124567.2665,120275.8092,7288647.107,3392702.488,6217105.105,1352790.622,4757217.894,6986702.841,3021183.757,2203596.345,3024233.592,4398985.9,7567320.936,115547.7956,2231855.09,117647.2289,3772096.849,2037678.071,4022054.036,5015452.416,1099510.281,4437752.131,9879701.51,1702352.02,2256785.966,1037501.062,2891530.33,3622353.143,1597555.889,2699604.957,2010971.963,595586.9628,3196128.282,3540985.967
PEG Diethylhexanoate n4,7282988.596,2154491.773,3374651.441,6676509.085,1647501.051,1143371.673,1213066.577,1236617.303,1158392.218,993775.5569,1012780.106,1022559.621,1000467.56,888471.3958,1048341.595,994288.7701,1037634.964,920565.0609,880285.4609,895556.5869,46108.56948,53460.39153,872917.8671,46939.29226,44149.18675,1127917.644,959505.6329,887101.4442,987818.0401,783569.9458,1020608.989,849970.5296,926345.3787,847891.4352,845338.0526,878337.6977,44085.80841,43077.20958,46023.01275,799447.0295,787697.059,859240.48,875545.4906,777750.3776,861818.9095,817830.627,471197.8393,892055.7951,567647.7521,872884.3163,759904.1865,794833.48,721185.4758,722826.3668,712720.5727,887419.1563,891245.8659
PEG n10,552238.0052,2367881.615,4163537.25,5014826.236,3085054.488,2087943.222,3796353.052,1552627.554,15105935.98,445423.566,3278481.103,2237911.915,1124177.106,1719548.935,1757501.529,8600865.141,3163379.347,990411.8797,2323170.537,1093588.649,16785353.25,1053048.237,1762154.938,19889275.5,6869485.767,1666253.627,1832226.624,1537827.594,3867421.629,3208519.426,1444040.072,1356552.964,1012605.296,1176195.871,998159.1539,877913.0234,5385194.902,6699483.951,4818582.525,939887.7435,1125485.429,873726.6094,838180.9291,1330934.508,185504.9671,76971.6249,1345935.904,1463905.132,1671228.94,1244764.702,4924837.918,1315659.785,1110191.139,1775492.096,1749235.669,1462859.304,1382714.047
PEG n11,28358281.84,19989093.25,9786076.784,32972215.32,21374489.08,13314564.63,31981061.46,8959121.823,35177004.86,18006802.73,26124738.22,17114522.57,5181594.3,11355885.49,11969571.05,17013428.01,25275258.26,2883142.584,16034803.99,5419562.794,13424487.15,994470.1264,11374300.94,13270956.9,4187277.376,11319126.62,11918603.84,9625788.684,29148945.98,23170768.54,8739529.695,6770493.512,4183306.595,5712407.192,4403431.225,3100003.994,3589958.981,5260842.323,2996549.836,3600439.888,6414684.875,3283860.414,2309735.619,8929713.303,9536347.541,4826552.485,6747285.99,9236486.597,17312303.22,3012947.748,9217745.554,11938438.24,5657047.666,14758276.92,17711961.05,11619416.54,5845192.486
PEG n12,80263809.46,18267719.98,29258445.43,101039735.4,53475108.97,43784812.36,86733591.26,32079742.12,100426123.7,41475672.41,79535079.3,48663475.9,15797114.61,38822753.43,39153737.62,57883546.33,72676977.94,9260903.506,54185296.75,17323475.52,17113834.05,1620051.016,34682958.69,15783360.89,4986029.917,33738668,37196427.54,31999470.15,87797549.7,71356745.41,25988825.29,22386723.78,12480762.39,18690224.38,14773668.21,9126302.883,3874607.604,6346185.416,3049649.689,10579803.63,22171508.24,9393872.671,6284030.01,32530767.16,19944411.8,14310433.2,27408104.27,26305220.42,38918163.72,22137296.41,55210134.43,21433799.7,16163697.19,33438576.81,56491993.36,28786756.27,29891584.69
PEG n13,56399022.15,29546048.43,20971424.28,61471382.77,53847598.02,25568018.24,72675484.2,24184193.09,76431974.05,31565775.91,47630136.77,41311239.5,8776400.206,25779330.77,21373317.47,43293825.29,66666423.29,6533725.809,44178399.45,10486165.71,17220648.54,3664278.982,25330350.72,15782999.1,4940028.158,26741430.33,14706663.63,25032234.72,59590988.06,41441763.72,18161236.98,12741357.2,7016605.518,12943376.02,11721809.18,6992105.604,3849016.812,6293493.285,3020394.245,7646739.82,16091160.65,8934043.451,2704667.616,27880585.28,13355112.53,5336835.29,24826208.57,27413181.83,19030749.21,16413879.25,31621353.21,15393351.88,20082771.38,24765942.16,34651070.58,21448756.48,19603049.99
PEG n14,193994108.5,123990515.8,82393175.03,261180794.8,168474211.4,115301770.7,219960965,78621966.61,285348924.8,136718848.5,207298654.4,141170032.7,40423524.38,110210484.4,105401040.3,153861500.2,196884574.4,26338563.12,145068123.7,50462805.56,12980765.62,7464831.009,97543482.77,11596717.16,3645857.994,103088637.2,113496505,95210832.15,259665218.1,202963419.8,75407484.8,69231099.91,40856139.42,51568226.85,47655114.44,29876078.79,2807359.669,4716111.032,2068657.111,30837339.93,59707671.43,34285385.78,17841345.55,104069563.4,72916580.32,39910010.58,76403710.9,82161109.5,119488861.2,63546340.33,153234305.7,80957678.2,67091237.05,108459900.6,228446982.5,93702809.12,90058951.52
PEG n15,783133996.4,593175801.8,384452966.5,1074358637,792098938,502383524.1,949146073,365383192,1260260881,679448431.5,993875804.9,660407059.1,182681426.4,507144584.9,470183088.2,694984035.6,928874708.1,111934418.2,659002495.7,210376391.7,6813803.939,17238049.55,395059781.4,5875820.878,1941469.937,437173480.7,489824855.1,406467700.6,1066492747,911672973,331065990.2,298086334.4,160967758.7,220104992.8,191070706.9,122408102.4,1611561.574,2383242.017,1322477.162,138574730.1,288344283.9,156714499.3,70274329.34,414854430.5,292600606.1,185629168.3,327096602.9,402507615.2,436544714.3,236334405.6,515040705.7,356429711.5,326397526.2,514284055.5,477232192.2,486827650.2,301565292
PEG n16,857405430,612463402.7,399960731.2,1092707486,843313268.3,550109014.9,1063578094,376526377.4,1258131660,706502660.9,1032700270,691883050.8,181225081.9,523129695.2,465091526.8,705650178.8,967516222.9,106505244.3,679134586.1,213045690.9,3871333.923,79475.93838,367263029.7,3098010.565,1223320.302,439332831.4,482637585.4,413388333.2,1054579069,947838043.9,345280860.7,293353822.7,153189782.5,220703224.5,190376072.1,115365450.9,948726.4973,1536316.925,730273.9312,131999941,283256811.2,152700313.8,65162079.67,396696270,311037831.4,168496527.9,327234446.9,407689489.9,479753780.6,241322860.3,668004252.7,383291242.8,276168331.9,595304232.3,500131821,547698912.8,229022242.6
PEG n5,67192377.69,45553556.01,31971096.82,73439563.34,75232542.01,39697779.69,84272440.09,42479839.56,85679562.88,52733319.34,59612656.99,44377227.98,25334991.54,38708871.86,44647528.68,63139989.94,69140174.69,22300597.97,46119449.05,40839061.25,17408843.79,48477009.15,38488819.98,17441812.98,16810216.76,34057389.7,74421929.44,36392394.56,78093683.81,56756118.39,32039362.75,31332935.1,27503557.07,25689983.92,20119612.67,49125883.13,14642218.17,14631738.63,14235298.86,20525258.07,24753469.29,16950258.03,17293538.03,32207825.91,26781556.89,21449452.51,27634572.98,44623542.44,28581325.33,29342267.97,53324614.75,29466048.34,28124916.24,24417538.89,17550116.53,22332779.32,23599596.69
PEG n6,64704078.48,41067659.58,24012784.85,73923816.97,62904805.37,30327642.21,75930133.88,28418302.11,89923541.71,47537580.66,58215906.35,38034656.65,19064243.99,29318033.34,35147611.27,55828608.35,65472971.39,10725131.1,39050307.38,12172129.93,5050541.951,5952373.254,29452701.09,6285276.612,6016945.76,24281426.86,32517236.57,27446375.27,69693702.6,53881496.19,17330024.92,14878818.23,10181685.07,11714640.62,14127469.52,21049365.18,4031296.843,6387301.711,5090682.837,7877374.85,16379776.75,19494807.4,7243795.341,26214296.92,14926994.82,8670598.56,12847269.76,24368694.7,13832100.35,13628014.76,20650372.43,15408996.58,13727775.34,7592354.22,28499266.78,8992840.187,14240437.38
PEG n7,90002880.83,54268338.22,32967666.14,106079701.8,89652221.29,40280031.84,104062611.7,34582044.51,121896766.6,59876651.99,77175017.39,49468215.7,13155764.43,36171934.13,43550920.42,73379699.21,91048050.94,8386237.679,52713686.47,13436715.22,2592966.876,2798179.737,39853666.12,2509655.019,2880522.608,32225863.53,42451353.79,33655322.03,108876885.4,74575332.61,26264374.26,17557897.11,10407832.27,14105236.86,11685236.68,6993666.129,2059146.263,2014587.863,2298572.6,8268126.389,25603719.39,7337060.003,4508055.198,50815085.71,14806766.92,16582953.84,22683432.87,42486387.49,7760003.24,19672456.9,10076921.45,19365149.08,3765270.605,6730634.896,16630589.92,6153733.194,13807764.36
